name,gender,active_since,birthdate,height_cm,weight_kg,source_a,source_b,source_c,first_final_s,hold_1,hold_2,hold_3,hold_4,hold_5,hold_6,hold_7,hold_8,hold_9,hold_10,hold_11,hold_12,hold_13,hold_14,hold_15,hold_16,hold_17,hold_18,hold_19,hold_20
Mariia Krasavina,w,2008,3 Aug 90,171,NA,https://www.ifsc-climbing.org/athlete/82/mariia-krasavina,https://www.wikidata.org/wiki/Q28001434,NA,8.370,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1
Alexandra Elmer,w,2010,10 Jun 96,170,NA,https://ifsc.results.info/athlete/1230,https://www.ifsc-climbing.org/athlete/1230/alexandra-elmer,NA,9.230,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1
Alina Gaidamakina,w,2005,20 Sep 90,171,NA,https://www.ifsc-climbing.org/athlete/62/alina-gaidamakina,https://www.wikidata.org/wiki/Q19521760,NA,8.470,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1
Kseniya Polekhina,w,2005,11 Feb 90,NA,NA,https://www.ifsc-climbing.org/athlete/63/kseniya-polekhina,NA,NA,8.510,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1
Alla Marenych,w,2012,26 Jun 88,167,56,https://www.digitalrock.de/egroupware/ranking/sitemgr/digitalrock/pstambl.html#person=11299&cat=24,https://www.ifsc-climbing.org/athlete/1493/alla-marenych,NA,8.790,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1
Edyta Ropek,w,2000,18 Nov 79,178,67,https://www.wikidata.org/wiki/Q3048839,https://cs.wikipedia.org/wiki/Edyta_Ropek,NA,8.670,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1
Anna Tsyganova,w,2007,6 Sep 93,166,NA,https://cs.wikipedia.org/wiki/Anna_Cyganovová,https://www.digitalrock.de/egroupware/ranking/sitemgr/digitalrock/pstambl.html#person=8428&cat=2,https://www.ifsc-climbing.org/athlete/73/anna-tsyganova,8.670,1,0,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1
Patrycja Chudziak,w,2011,2 Jul 97,168,NA,https://www.ifsc-climbing.org/athlete/2857/patrycja-chudziak,https://www.wikidata.org/wiki/Q56676131,NA,8.860,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1
Anouck Jaubert,w,2011,27 Jan 94,169,60,https://www.ifsc-climbing.org/athlete/479/anouck-jaubert,https://en.wikipedia.org/wiki/Anouck_Jaubert,https://www.digitalrock.de/egroupware/ranking/sitemgr/digitalrock/pstambl.html#person=10354&cat=24,10.020,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1
Daria Kan,w,2012,28 Sep 98,NA,NA,https://www.wikidata.org/wiki/Q56676371,https://www.ifsc-climbing.org/athlete/112/daria-kan,NA,9.520,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1
Yuliya Levochkina,w,2008,29 Mar 90,NA,NA,https://www.ifsc-climbing.org/athlete/81/yuliya-levochkina,NA,NA,8.980,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1
Aleksandra Mirosław,w,2009,2 Feb 94,162,49,https://www.ifsc-climbing.org/athlete/2848/aleksandra-miroslaw,https://en.wikipedia.org/wiki/Aleksandra_Miros%C5%82aw,https://www.digitalrock.de/egroupware/ranking/sitemgr/digitalrock/pstambl.html#person=9493&cat=59,8.650,1,0,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1
Iuliia Kaplina,w,2011,11 May 93,165,53,https://www.ifsc-climbing.org/athlete/110/iuliia-kaplina,https://en.wikipedia.org/wiki/Iuliia_Kaplina,https://www.digitalrock.de/egroupware/ranking/sitemgr/digitalrock/pstambl.html#person=10857&cat=24,8.240,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1
Tamara Ulzhabayeva,w,NA,4 Aug 87,NA,NA,https://www.ifsc-climbing.org/search?q=Tamara Ulzhabayeva,NA,NA,9.400,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1
Klaudia Buczek,w,2008,30 Apr 91,164,50,https://www.ifsc-climbing.org/athlete/2847/klaudia-buczek,https://cs.wikipedia.org/wiki/Klaudia_Buczek,NA,8.700,1,0,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1
Elena Timofeeva,w,2012,20 Jun 96,NA,NA,https://www.ifsc-climbing.org/athlete/117/elena-timofeeva,NA,NA,fall,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1
Danyil Boldyrev,m,2006,15 May 92,190,78,https://www.ifsc-climbing.org/athlete/1480/danyil-boldyrev,https://en.wikipedia.org/wiki/Danyil_Boldyrev,NA,6.190,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,0,0,1,1,1
Quentin Nambot,m,2009,22 Nov 95,174,65,https://www.digitalrock.de/egroupware/ranking/sitemgr/digitalrock/pstambl.html#person=9771&cat=58,NA,NA,6.730,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1
Leonardo Gontero,m,2009,11 Dec 93,171,60,https://www.ifsc-climbing.org/athlete/856/leonardo-gontero,https://it.wikipedia.org/wiki/Leonardo_Gontero,NA,6.470,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1
Aspar Jaelolo,m,NA,24 Jan 92,NA,NA,https://www.wikidata.org/wiki/Q53741369,NA,NA,6.480,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1
Reza Alipour,m,2011,29 Apr 94,170,76,https://www.ifsc-climbing.org/athlete/3471/reza-alipour-shenazandifard,https://en.wikipedia.org/wiki/Reza_Alipour,NA,6.220,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1
Dmitrii Timofeev,m,2011,7 Mar 93,NA,NA,https://www.ifsc-climbing.org/athlete/105/dmitrii-timofeev,https://www.wikidata.org/wiki/Q27985547,NA,8.640,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1
Zhong Qixin,m,2006,7 Apr 89,170,NA,https://www.ifsc-climbing.org/athlete/2929/qixin-zhong,https://en.wikipedia.org/wiki/Zhong_Qixin,https://www.wikidata.org/wiki/Q3412492,7.100,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1
Marcin Dzieński,m,2007,22 Jan 93,166,65,https://www.ifsc-climbing.org/athlete/2845/marcin-dzienski,https://ifsc.results.info/athlete/2845,https://www.8a.nu/news/marcin-dzienski-the-fastest-climber-in-the-world,6.360,1,0,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1
Libor Hroza,m,2002,30 May 87,187,72,https://cs.wikipedia.org/wiki/Libor_Hroza,NA,NA,6.700,1,1,1,1,0,1,1,1,0,1,1,1,1,0,0,1,0,1,1,1
Isaac Estevez,m,2007,25 May 92,NA,NA,https://www.ifsc-climbing.org/athlete/3208/isaac-estevez,NA,NA,7.920,1,0,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1
Nikita Suyushkin,m,2008,3 Aug 94,NA,NA,https://www.ifsc-climbing.org/athlete/78/nikita-suyushkin,NA,NA,6.770,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1
Evgenii Vaitsekhovskii,m,2003,12 May 86,182,83,https://www.ifsc-climbing.org/athlete/56/evgenii-vaitsekhovskii,https://www.wikidata.org/wiki/Q466612,NA,6.550,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,0,0,1,1,1
Stanislav Kokorin,m,2007,22 Jan 90,172,67,https://www.ifsc-climbing.org/athlete/74/stanislav-kokorin,https://en.wikipedia.org/wiki/Stanislav_Kokorin,NA,6.490,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1
Aleksandr Shikov,m,2011,1 Apr 97,NA,NA,https://www.ifsc-climbing.org/athlete/109/aleksandr-shikov,NA,NA,7.460,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1
Bassa Mawem,m,1997,9 Nov 84,184,77,https://www.ifsc-climbing.org/athlete/7613/bassa-mawem,https://en.wikipedia.org/wiki/Bassa_Mawem,https://www.digitalrock.de/egroupware/ranking/sitemgr/digitalrock/pstambl.html#person=6&cat=1,6.170,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1
Arsenii Shevchenko,m,2009,16 May 90,NA,NA,https://www.ifsc-climbing.org/athlete/86/arsenii-shevchenko,NA,NA,7.340,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1